iter	Passed	Remaining
0	148	148804
1	149	74810
2	150	50101
3	151	37741
4	152	30327
5	153	25383
6	154	21851
7	154	19202
8	155	17140
9	156	15488
10	157	14138
11	158	13015
12	158	12065
13	159	11251
14	160	10566
15	161	9953
16	162	9402
17	163	8910
18	164	8469
19	164	8072
20	165	7715
21	166	7390
22	166	7092
23	167	6820
24	168	6570
25	169	6338
26	169	6124
27	170	5925
28	171	5739
29	172	5571
30	173	5409
31	173	5257
32	175	5144
33	176	5013
34	177	4886
35	177	4764
36	178	4650
37	179	4541
38	180	4438
39	180	4340
40	181	4246
41	182	4157
42	183	4072
43	183	3992
44	184	3915
45	185	3843
46	186	3774
47	186	3706
48	187	3640
49	188	3577
50	190	3536
51	190	3477
52	191	3421
53	192	3367
54	192	3315
55	193	3265
56	194	3216
57	195	3169
58	195	3124
59	196	3080
60	197	3037
61	198	2996
62	198	2956
63	199	2917
64	200	2879
65	200	2843
66	201	2808
67	202	2768
68	202	2735
69	204	2718
70	205	2686
71	206	2655
72	206	2625
73	207	2595
74	208	2567
75	208	2539
76	209	2512
77	210	2486
78	211	2460
79	211	2435
80	212	2410
81	213	2386
82	213	2362
83	214	2340
84	215	2315
85	215	2294
86	216	2270
87	217	2249
88	217	2229
89	219	2217
90	220	2198
91	220	2179
92	221	2160
93	222	2142
94	223	2124
95	223	2106
96	224	2089
97	225	2072
98	225	2055
99	226	2039
100	227	2023
101	227	2005
102	228	1990
103	229	1975
104	230	1961
105	230	1946
106	231	1932
107	232	1918
108	234	1912
109	234	1899
110	235	1886
111	236	1873
112	237	1861
113	237	1848
114	238	1836
115	239	1823
116	240	1811
117	240	1800
118	241	1787
119	242	1776
120	243	1765
121	243	1754
122	244	1741
123	244	1730
124	245	1720
125	246	1710
126	248	1708
127	249	1696
128	249	1687
129	250	1677
130	251	1668
131	252	1659
132	253	1650
133	253	1641
134	254	1632
135	255	1623
136	256	1615
137	257	1606
138	258	1598
139	258	1589
140	259	1581
141	260	1573
142	261	1566
143	263	1569
144	264	1562
145	265	1555
146	266	1547
147	267	1540
148	268	1533
149	269	1525
150	270	1518
151	270	1511
152	271	1505
153	272	1498
154	273	1492
155	274	1485
156	275	1479
157	276	1473
158	278	1473
159	279	1467
160	280	1460
161	281	1454
162	281	1447
163	282	1441
164	283	1434
165	284	1428
166	285	1423
167	286	1419
168	287	1414
169	289	1411
170	290	1408
171	291	1403
172	294	1406
173	295	1402
174	296	1398
175	298	1395
176	299	1391
177	300	1387
178	301	1382
179	302	1378
180	303	1371
181	304	1367
182	305	1362
183	306	1357
184	308	1357
185	308	1352
186	309	1347
187	310	1342
188	311	1337
189	312	1332
190	313	1328
191	314	1323
192	315	1319
193	316	1314
194	317	1310
195	318	1305
196	319	1300
197	319	1295
198	320	1290
199	321	1285
200	323	1284
201	324	1280
202	324	1275
203	325	1271
204	326	1266
205	327	1261
206	328	1257
207	329	1253
208	329	1248
209	330	1243
210	331	1239
211	332	1234
212	332	1230
213	333	1225
214	334	1221
215	335	1217
216	336	1213
217	337	1212
218	338	1207
219	339	1203
220	340	1199
221	341	1195
222	342	1191
223	342	1187
224	343	1183
225	344	1179
226	345	1175
227	346	1171
228	346	1168
229	347	1164
230	348	1160
231	349	1156
232	350	1152
233	350	1148
234	352	1148
235	353	1144
236	354	1140
237	355	1137
238	356	1134
239	357	1130
240	357	1127
241	358	1123
242	359	1120
243	360	1116
244	361	1113
245	362	1109
246	362	1106
247	363	1102
248	364	1099
249	365	1095
250	366	1093
251	367	1092
252	368	1088
253	369	1085
254	370	1082
255	371	1079
256	372	1076
257	372	1072
258	373	1069
259	374	1065
260	375	1062
261	376	1059
262	376	1056
263	377	1052
264	378	1049
265	379	1046
266	380	1043
267	382	1043
268	383	1040
269	383	1037
270	384	1035
271	385	1031
272	386	1028
273	387	1025
274	387	1022
275	388	1019
276	389	1017
277	390	1014
278	391	1012
279	392	1009
280	393	1007
281	394	1004
282	395	1001
283	397	1001
284	398	999
285	399	996
286	399	993
287	400	990
288	401	987
289	402	984
290	402	981
291	403	978
292	404	976
293	405	973
294	406	970
295	407	968
296	408	965
297	408	963
298	409	961
299	412	961
300	413	959
301	413	956
302	414	953
303	415	951
304	416	948
305	416	945
306	417	943
307	418	940
308	419	937
309	420	935
310	420	932
311	421	929
312	422	927
313	423	924
314	424	922
315	424	919
316	426	919
317	428	918
318	429	917
319	430	914
320	431	912
321	432	909
322	432	907
323	433	905
324	434	902
325	435	901
326	436	899
327	437	897
328	438	895
329	439	893
330	441	892
331	442	890
332	443	888
333	444	886
334	445	883
335	446	881
336	447	879
337	447	877
338	448	874
339	449	872
340	450	870
341	450	867
342	451	865
343	452	863
344	453	860
345	454	858
346	456	858
347	457	856
348	457	854
349	458	851
350	459	849
351	460	847
352	461	845
353	461	842
354	462	840
355	463	838
356	464	836
357	465	834
358	465	831
359	466	829
360	467	827
361	468	825
362	469	823
363	471	823
364	472	821
365	472	819
366	473	817
367	474	815
368	475	812
369	476	810
370	477	808
371	477	806
372	478	804
373	479	802
374	480	800
375	481	798
376	482	796
377	482	794
378	483	792
379	485	791
380	486	790
381	487	788
382	488	786
383	488	784
384	489	782
385	490	780
386	491	778
387	492	776
388	493	774
389	493	772
390	494	770
