iter	Passed	Remaining
0	3	3450
1	4	2277
2	5	1830
3	6	1675
4	7	1510
5	8	1413
6	9	1336
7	10	1273
8	11	1223
9	11	1179
10	12	1143
11	16	1372
12	17	1358
13	18	1332
14	19	1298
15	20	1269
16	21	1257
17	22	1245
18	23	1223
19	24	1204
20	25	1186
21	26	1169
22	27	1157
23	28	1143
24	30	1174
25	31	1187
26	32	1178
27	33	1166
28	34	1166
29	35	1154
30	36	1144
31	37	1134
32	38	1124
33	39	1113
34	40	1103
35	40	1092
36	45	1173
37	46	1173
38	47	1167
39	48	1162
40	49	1162
41	50	1151
42	51	1139
43	51	1128
44	52	1118
45	53	1108
46	54	1098
47	54	1089
48	55	1083
49	59	1133
50	60	1134
51	62	1133
52	63	1131
53	64	1133
54	65	1129
55	66	1120
56	67	1113
57	68	1106
58	68	1098
59	69	1090
60	70	1082
61	73	1111
62	75	1115
63	76	1118
64	77	1118
65	80	1133
66	81	1128
67	81	1122
68	82	1116
69	83	1110
70	84	1104
71	85	1097
72	88	1129
73	90	1127
74	91	1127
75	92	1122
76	93	1123
77	95	1123
78	95	1118
79	96	1113
80	97	1107
81	98	1100
82	98	1090
83	99	1083
84	101	1096
85	105	1116
86	106	1119
87	107	1117
88	108	1113
89	109	1111
90	110	1105
91	111	1099
92	112	1092
93	112	1087
94	113	1081
95	114	1077
96	117	1092
97	118	1092
98	119	1092
99	120	1088
100	122	1088
101	123	1083
102	123	1078
103	124	1072
104	125	1068
105	126	1064
106	126	1059
107	127	1054
108	129	1060
109	131	1064
110	132	1061
111	133	1057
112	134	1054
113	135	1049
114	135	1044
115	136	1040
116	137	1035
117	138	1031
118	138	1027
119	139	1023
120	140	1019
121	140	1014
122	141	1010
123	142	1006
124	144	1013
125	145	1012
126	146	1007
127	147	1003
128	148	1000
129	148	996
130	149	993
131	150	989
132	151	986
133	152	982
134	152	978
135	153	975
136	154	971
137	154	968
138	155	965
139	156	962
140	157	959
141	158	959
142	160	958
143	160	956
144	161	953
145	162	950
146	163	947
147	164	944
148	164	941
149	165	938
150	166	935
151	167	933
152	168	930
153	168	927
154	169	924
155	170	921
156	170	918
157	171	915
158	173	918
159	174	917
160	175	914
161	176	911
162	176	908
163	177	905
164	178	902
165	179	900
166	179	897
167	180	895
168	181	892
169	182	889
170	182	887
171	183	884
172	184	882
173	185	880
174	186	879
175	188	882
176	189	881
177	190	879
178	191	877
179	192	874
180	192	872
181	193	869
182	194	867
183	194	864
184	195	862
185	196	860
186	197	857
187	198	855
188	198	852
189	199	850
190	200	848
191	203	857
192	205	857
193	206	857
194	207	855
195	208	855
196	209	855
197	210	852
198	211	850
199	211	847
200	212	845
201	213	843
202	214	841
203	215	839
204	218	846
205	219	846
206	220	846
207	221	844
208	222	842
209	223	841
210	224	840
211	225	838
212	226	836
213	227	834
214	227	832
215	228	830
216	229	827
217	230	825
218	233	831
219	234	832
220	235	831
221	236	830
222	237	828
223	239	828
224	240	826
225	240	824
226	241	822
227	242	820
228	243	818
229	243	816
230	244	814
231	247	820
232	249	820
233	250	819
234	251	818
235	252	816
236	253	816
237	254	813
238	254	811
239	255	809
240	256	807
241	257	805
242	258	803
243	258	801
244	259	799
245	263	807
246	264	806
247	265	804
248	266	803
249	267	802
250	268	801
251	269	799
252	270	797
253	270	795
254	271	794
255	272	792
256	273	790
257	276	794
258	277	794
259	278	793
260	279	792
261	281	791
262	282	790
263	283	789
264	283	787
265	285	787
266	287	788
267	294	805
268	296	804
269	297	805
270	298	803
271	299	801
272	300	799
273	300	797
274	301	795
275	302	793
276	305	797
277	306	797
278	307	795
279	309	794
280	309	792
281	310	791
282	312	791
283	313	789
284	313	787
285	314	785
286	315	784
287	316	782
288	317	780
289	319	783
290	321	784
291	322	782
292	323	781
293	324	779
294	325	778
295	327	778
296	328	776
297	328	774
298	329	772
299	330	770
300	331	768
301	331	766
302	332	765
303	335	768
304	336	767
305	337	766
306	338	764
307	339	763
308	341	762
309	342	761
310	342	759
311	343	757
312	344	755
313	345	753
314	345	751
315	346	750
316	349	752
317	350	752
318	351	750
319	352	749
320	353	747
321	354	746
322	355	744
323	356	743
324	356	741
325	357	739
326	358	737
327	359	736
328	360	734
329	361	733
330	361	731
331	364	733
332	365	732
333	366	731
334	367	729
335	368	728
336	370	727
337	370	726
338	371	724
339	372	722
340	373	721
341	374	719
342	374	718
343	375	716
344	378	719
345	380	718
346	381	717
347	382	716
348	383	714
349	384	713
350	385	712
351	386	710
352	386	709
353	387	707
354	388	705
355	389	704
356	389	702
357	393	705
358	394	704
359	395	703
360	396	702
361	397	701
362	398	700
363	400	699
364	400	697
365	401	696
366	402	694
367	403	692
368	404	691
369	405	689
370	408	692
371	410	693
372	412	692
373	412	691
374	413	689
375	415	690
376	416	689
377	417	687
378	418	685
379	419	684
380	420	682
381	423	684
382	424	683
383	425	682
384	426	681
385	427	680
386	428	679
387	429	677
388	430	676
389	432	675
390	433	675
391	438	679
392	439	679
393	441	678
394	442	677
395	443	676
396	444	675
397	445	674
398	446	672
399	447	671
400	449	671
401	452	673
402	453	671
403	457	674
404	458	673
405	459	672
406	460	670
407	461	669
408	462	668
409	463	666
410	464	665
411	467	667
412	469	666
413	470	665
414	471	664
415	472	662
416	473	661
417	474	660
418	475	659
419	477	659
420	478	658
421	482	660
422	484	660
423	485	659
424	486	658
425	487	656
426	488	655
427	489	654
428	490	653
429	491	652
430	493	650
431	494	649
432	498	653
433	500	653
434	502	652
435	503	651
436	504	649
437	505	648
438	506	646
439	507	646
440	509	645
441	511	645
442	514	646
443	515	645
444	516	643
445	517	642
446	518	641
447	519	640
448	520	638
449	521	637
450	522	635
451	522	634
452	523	632
453	526	633
454	528	633
455	529	632
456	530	630
457	532	629
458	533	628
459	533	626
460	534	625
461	535	623
462	536	622
463	537	620
464	538	619
465	538	617
466	541	617
467	543	617
468	544	616
469	545	615
470	546	613
471	547	612
472	548	611
473	549	609
474	550	608
475	551	606
476	551	605
477	552	603
478	553	601
479	555	601
480	557	601
